"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","176"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","237"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","100"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","129"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","226"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","175"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","170"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","309"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","468"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","260"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","260"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","269"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","198"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","91"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","244"
